    number        km      time
         1        21    385.42
         2        22     68.00
         3        32      4.75
         4        27     20.00
         5        93      3.50
         6        25     21.58
         7        20     48.00
         8        94     65.50
         9         1     16.75
        10        24     22.92
        11        77     91.00
        12        46     39.17
        13         5     18.50
        14         9     73.00
        15        51     62.50
        16       354     23.50
        17        48     18.50
        18        13     43.50
        19        50     88.00
        20        50     20.00
        21        57     43.50
        22        49     85.50
        23        28     19.00
        24       104     19.00
        25         0      0.00
        26         0      0.00
        27        49     87.00
        28        11    400.00
        29         6     93.75
        30        68     22.17
        31        88     16.17
        32       100     18.00
        33        36    111.00
        34        46     37.00
        35        11    138.25
        36        45     87.25
        37        52     12.00
        38        46     37.00
        39        41     14.50
        40        54     68.00
        41       378     48.00
        42        10    115.00
        43        47    112.00
        44        10     64.00
        45        58     90.00
        46        45     43.00
        47        40    205.00
        48        52    230.00
        49        17    165.00
        50         6     18.42
        51         6     47.42
        52        53     91.25
        53        24    164.25
        54        99     12.50
        55       139     65.75
        56        32     58.25
        57       146      2.42
        58        39    111.00
        59        16     40.00
        60        50    115.33
        61        17     19.00
        62         0      0.00
        63         0      0.00
        64        39    157.67
        65        20     40.83
        66        40    116.17
        67         8     21.75
        68        13     21.42
        69        45    113.00
        70        42    156.25
        71         6      3.00
        72        59     15.07
        73       363     21.83
        74        32     11.92
        75         0      0.00
        76         0      0.00
        77        12    139.00
        78        58     17.42
        79        11     67.00
        80        52     89.50
        81        51    156.50
        82        73    157.00
        83        14     67.42
        84       110     87.50
        85        21     18.50
        86        72     23.83
        87        64    110.33
        88        53    156.83
        89         6     20.08
        90        20      1.75
        91        68     50.00
        92        53     41.58
        93       773     15.08
        94        68     39.50
        95        66    112.00
        96         0      0.00
        97         0      0.00
        98        89     90.42
        99        17     67.50
       100       175    165.50
       101        97     67.00
       102         6     27.50
       103         0      0.00
       104         0      0.00
       105        43     41.75
       106        13    116.00
       107        60     17.25
       108         6     66.83
       109        42     90.00
       110        17     24.42
